
Chelsea,28,22,3,3,+38,69
Tottenham Hotspur,28,17,8,3,+34,59
Manchester City,28,17,6,5,+24,57
Liverpool,29,16,8,5,+25,56
Manchester United,27,14,10,3,+19,52
Arsenal,27,15,5,7,+22,50
Everton,29,14,8,7,+21,50
West Bromwich Albion,29,12,7,10,+1,43
Stoke City,29,9,9,11,-9,36
Southampton,27,9,6,12,-3,33
AFC Bournemouth,29,9,6,14,-12,33
West Ham United,29,9,6,14,-12,33
Burnley,29,9,5,15,-11,32
Watford,28,8,7,13,-15,31
Leicester City,28,8,6,14,-14,30
Crystal Palace,28,8,4,16,-10,28
Swansea City,29,8,3,18,-27,27
Hull City,29,6,6,17,-32,24
Middlesbrough,28,4,10,14,-13,22
Sunderland,28,5,5,18,-26,20
